编号  成员名称                 阶级      火炉等级    战力           周功勋         总功勋         周捐献         
1       林知皇                   5         28          62421947       240161834      1200368036     132240         
2       破烂王                   4         28          50068066       861850326      1891608698     159520         
3       飞翔的企鹅               4         25          13512555       19686406       19686406       8640           
4       名字不好起               4         30          52004348       874660290      1992426134     144720         
5       南阳躬耕                 4         29          49243066       285366112      1261955906     165840         
6       玛卡巴卡666              4         28          45663613       401936268      1338803704     138960         
7       我是丢丢                 4         30          98347456       693373358      3581526014     202560         
8       小鱼儿                   4         30          78499148       75016306       927239946      38640          
9       阿米福                   4         30          49149542       347060486      1606414556     23040          
10      天师府丶张之维           3         27          39692509       0              155362726      0              
11      南瓜糕                   3         29          54815534       0              186472         75320          
12      星阳123                  3         27          44081624       385961480      850034064      122560         
13      一路人                   3         29          55232298       729537910      1876869112     142800         
14      时间路人                 3         28          48249454       559766862      1428911358     156960         
15      习惯性依赖               3         28          48217106       693147216      1752680814     141360         
16      杀天下贼也               3         27          50318845       922745074      1743908476     143360         
17      身在曹营心在汉           3         30          71720330       1003845594     2263679394     201800         
18      烟雨渺渺                 3         28          49317432       114830724      961569882      154400         
19      为为的小公举             3         27          50000425       774287288      2209938550     145360         
20      雪糕堡堡                 3         26          42451510       82110558       158364870      133920         
21      疯子东哥                 3         28          44233010       17521000       76654172       119040         
22      零零散散                 3         28          41994765       221882238      719358512      115680         
23      马踏东京                 3         28          49923593       708844180      2237786288     169200         
24      二五九七                 3         29          52631046       824930138      1869887474     136800         
25      墨翊凛寒                 3         27          47892537       133436800      453206622      1200           
26      林婉儿                   3         29          53653980       404374478      1283159530     157480         
27      不是味儿                 3         27          45799980       13679204       70560730       165240         
28      我是传奇                 3         28          55061192       795582660      2763161702     167280         
29      流云与飞鸟               3         29          45638575       247489512      904860128      156640         
30      按摩技师王某             3         28          46119978       110412644      386011260      102080         
31      爱在星辰                 3         28          51205487       260533858      871255034      152800         
32      农夫与鱼儿               3         28          47958110       379588872      806794092      162000         
33      月华如水                 3         29          45537127       530464024      1255932462     128400         
34      黑色奶粉                 3         28          49858350       38019530       94033710       148560         
35      滚雪球                   3         27          43085632       694000458      1698257914     142560         
36      啵霸王                   3         28          48350237       52297734       615444650      158640         
37      青峰剑                   3         27          47645067       225323524      970731008      151760         
38      诸葛大力                 3         28          46718333       430466822      1451075484     145160         
39      一杯敬朝阳               3         29          49633907       448793582      1819028036     134880         
40      大灰狼王                 3         28          51475251       516289334      1964303096     160160         
41      柚稚丶茜                 3         28          50540688       125704480      848120890      141360         
42      延天帝                   3         27          41895397       18017662       228299978      102920         
43      红牛888                  3         28          49988257       391669804      925415086      144360         
44      王平安                   3         27          37887587       566070584      988024680      115920         
45      煞神888                  2         27          40849221       39115940       147780718      135600         
46      必胜之路                 2         26          38868517       33941402       552985472      135720         
47      浮华背后                 2         26          45402479       305101280      848978108      149640         
48      好多馍馍                 2         26          40939798       303982062      592341942      132720         
49      冬不拉丁                 2         27          36524549       90647200       448500016      84560          
50      遥远的她                 2         25          36202752       0              22142644       0              
51      欢乐就好                 2         26          38508159       601225534      1482365254     147120         
52      甘莫念                   2         26          40191007       94631400       501464408      153600         
53      雪域城主                 2         28          43476710       30514020       47044552       69240          
54      微微一笑                 2         27          43862789       61146926       358634130      130560         
55      三国吴哥                 2         25          35533224       0              63136850       111680         
56      三里呀                   2         26          35803665       8854248        19287074       124560         
57      御雪颜                   2         27          38154500       695407886      1750551674     132640         
58      一心向南                 2         28          42964878       171071632      670770712      165120         
59      美人送我安眠             2         25          41563405       0              222220900      97680          
60      可乐喝可乐666            2         25          25799485       0              0              8640           
61      最美少女                 2         27          43799724       7549540        113364858      125640         
62      汉光武帝刘备             2         26          44804995       803131716      1437412558     153600         
63      泥石流                   2         26          41322436       369967716      985743048      136000         
64      彩虹骄阳                 2         26          31915252       246574274      554169278      72960          
65      汝阳王                   2         26          34736271       68796416       142986160      60680          
66      林深不见鹿               2         26          28519471       0              19912600       55200          
67      华夏儿女                 1         25          32860347       26569886       36525756       50320          
68      康康的头号粉丝           1         24          21153998       0              0              47520          
69      张月饼                   1         25          30345729       0              108555612      106080         
70      落叶依然                 1         26          35234333       201799726      356304246      132400         
71      安幕风尘                 1         26          36981590       97716440       320834738      129600         
72      橘子汽水                 1         24          19977136       0              0              0              
73      挽挽1823                 1         24          21640649       0              0              69920          
74      柠檬小跟班               1         24          20932058       0              3061308        77960          
75      帅帅小能手               1         25          37801021       217814326      565212986      108480         
76      骉骉骉                   1         24          25500910       18673500       18673500       105120         
77      又熊又不老实             1         24          16911748       0              0              0              
78      主公快来                 1         24          26115967       3060800        5972532        152160         
79      众天山                   1         23          20790326       98409510       98409510       158400         
80      天宗1                    1         24          32158777       10140932       75768016       118360         
81      王者之风姿绰约           1         25          30510514       44361070       106873406      134640         
82      小小丢1                  1         24          19961355       68679380       91184800       129600         
83      梦入微凉                 1         25          26874429       3091612        13572848       70880          
84      松烟入墨                 1         24          26068716       4330890        102608246      119160         
85      每一次感动               1         22          7212171        0              350972         18000          
86      夏日繁星                 1         25          22093780       0              65098812       71120          
87      葡萄美妞爷盖被           1         22          12342272       824620         824620         148400         
88      执念如影                 1         22          15679894       0              0              150600         
89      星尘啊                   1         24          24207373       12536250       12536250       130960         
90      勤劳致富                 1         25          27646834       0              0              116200         
91      淼淼淼                   1         22          17246406       0              0              82000          
92      名字一号                 1         20          8628351        0              0              11520          
93      夕阳下的婉儿             1         22          14638554       659110         659110         0              
